Country Name,Country Code,Indicator Name,Indicator Code,values
Afghanistan,AFG,Agricultural land (sq. km),AG.LND.AGRI.K2,"[,377000.0,377600.0,378100.0,378730.0,378750.0,379130.0,379790.0,379800.0,379960.0,380060.0,380360.0,380460.0,380480.0,380480.0,380480.0,380480.0,380500.0,380500.0,380490.0,380490.0,380530.0,380540.0,380540.0,380540.0,380540.0,380540.0,380450.0,380400.0,380400.0,380400.0,380300.0,380300.0,379340.0,378130.0,377530.0,377520.0,377900.0,378670.0,377530.0,377530.0,377530.0,377530.0,379100.0,379110.0,379100.0,379100.0,379100.0,379100.0,379100.0,379100.0,379100.0,]"
Albania,ALB,Agricultural land (sq. km),AG.LND.AGRI.K2,"[,12320.0,12320.0,12330.0,12300.0,12370.0,12400.0,12440.0,12400.0,12350.0,12300.0,12000.0,11740.0,11460.0,11220.0,10800.0,10750.0,11090.0,11140.0,11170.0,11180.0,11160.0,11140.0,11100.0,11130.0,11120.0,11110.0,11110.0,11170.0,11100.0,11210.0,11270.0,11270.0,11260.0,11260.0,11270.0,11310.0,11350.0,11390.0,11450.0,11440.0,11390.0,11400.0,11210.0,11220.0,10770.0,11200.0,11190.0,11810.0,12013.0,12013.0,12010.0,]"
Algeria,DZA,Agricultural land (sq. km),AG.LND.AGRI.K2,"[,454710.0,449000.0,445100.0,441640.0,441670.0,441670.0,442510.0,442030.0,442030.0,442160.0,454330.0,453960.0,443040.0,443360.0,437530.0,440210.0,438320.0,438430.0,438200.0,438300.0,391710.0,391070.0,392820.0,396100.0,390510.0,386880.0,387790.0,388170.0,387600.0,386760.0,386220.0,388650.0,388620.0,396400.0,396490.0,396360.0,396900.0,398260.0,397310.0,400210.0,401090.0,398550.0,399057.0,411450.0,412110.0,411810.0,412520.0,413090.0,413800.0,413730.0,413830.0,]"
Angola,AGO,Agricultural land (sq. km),AG.LND.AGRI.K2,"[,571700.0,572000.0,572200.0,572500.0,572700.0,573000.0,573300.0,573600.0,574000.0,574000.0,574000.0,574000.0,574000.0,574000.0,574000.0,574000.0,574000.0,574000.0,574000.0,574000.0,574000.0,574000.0,574000.0,574000.0,574000.0,574000.0,574000.0,574000.0,574000.0,574040.0,574500.0,575000.0,575000.0,575000.0,575000.0,575000.0,575000.0,575000.0,574000.0,573000.0,573000.0,573900.0,575900.0,575900.0,575900.0,575900.0,576900.0,576900.0,582900.0,583900.0,583900.0,]"
Argentina,ARG,Agricultural land (sq. km),AG.LND.AGRI.K2,"[,1378290.0,1364340.0,1348750.0,1332970.0,1317800.0,1309480.0,1297030.0,1292350.0,1293020.0,1292800.0,1291540.0,1290280.0,1289020.0,1287760.0,1286500.0,1285240.0,1283980.0,1282720.0,1281460.0,1280200.0,1278940.0,1287690.0,1286440.0,1285170.0,1283910.0,1282650.0,1279390.0,1273800.0,1274700.0,1275650.0,1276600.0,1277550.0,1278500.0,1279480.0,1280450.0,1281420.0,1282350.0,1283300.0,1284120.0,1285100.0,1286060.0,1287100.0,1308835.0,1343450.0,1377975.0,1411040.0,1440330.0,1440580.0,1432970.0,1467170.0,1475480.0,]"
Armenia,ARM,Agricultural land (sq. km),AG.LND.AGRI.K2,"[,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11700.0,11810.0,12000.0,12440.0,13060.0,13320.0,13280.0,13230.0,13230.0,13280.0,13910.0,14440.0,15050.0,16050.0,17564.0,17519.0,17473.2,17459.0,17350.0,17106.0,]"
Australia,AUS,Agricultural land (sq. km),AG.LND.AGRI.K2,"[,4615850.0,4636880.0,4664710.0,4690090.0,4729760.0,4741540.0,4767280.0,4748210.0,4789430.0,4817870.0,4832530.0,4844570.0,4870170.0,4877270.0,4868370.0,4877730.0,4786110.0,4765300.0,4804770.0,4829260.0,4827410.0,4780810.0,4711250.0,4730390.0,4729600.0,4708850.0,4710200.0,4722830.0,4670770.0,4644810.0,4629740.0,4661780.0,4602860.0,4691000.0,4633480.0,4652210.0,4622000.0,4637860.0,4537290.0,4555000.0,4557000.0,4470000.0,4395000.0,4401100.0,4451490.0,4349250.0,4254490.0,4172880.0,4090290.0,3985800.0,4096726.0,]"
Austria,AUT,Agricultural land (sq. km),AG.LND.AGRI.K2,"[,40500.0,40410.0,39900.0,39840.0,39840.0,39350.0,39270.0,39220.0,38970.0,38960.0,38940.0,38940.0,37930.0,37930.0,37900.0,36890.0,36980.0,37160.0,36620.0,36750.0,36890.0,36750.0,35020.0,35080.0,35110.0,34990.0,34990.0,35320.0,35480.0,35000.0,35190.0,34920.0,34520.0,34500.0,34320.0,34260.0,34230.0,34190.0,33900.0,33900.0,33760.0,33740.0,33760.0,32620.0,32630.0,32410.0,32400.0,31710.0,31680.0,31650.0,28690.0,]"
Azerbaijan,AZE,Agricultural land (sq. km),AG.LND.AGRI.K2,"[,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44462.0,44566.0,44860.0,44891.0,45262.0,45887.0,46821.0,46924.0,47404.0,47456.0,47449.0,47546.0,47549.0,47586.0,47560.0,47565.0,47567.0,47573.0,47668.0,47687.0,]"
The Bahamas,BHS,Agricultural land (sq. km),AG.LND.AGRI.K2,"[,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,140.0,150.0,150.0,]"
