place,place_tr,country,country_tr,begin_date,end_date,arrived_by,arrived_by_tr,story,story_tr,the_geom,cartodb_georef_status,cartodb_id,created_at,updated_at,lat,lon,zoom
Melbourne,Melbourne,Australia,Avustralya,,,plane,plane,,,0101000020E6100000A6F27684D31E6240D578E92631E842C0,TRUE,29,2015-04-25 15:48:04.201911+00,2015-04-25 17:26:31.786096+00,-37.814,144.96332,6
Male,Male,Maldives,Maldivler,,,plane,plane,,,0101000020E6100000AA656B7D91605240FB5C6DC5FEB21040,TRUE,19,2015-04-25 15:48:04.201911+00,2015-04-25 17:26:31.786096+00,4.1748,73.50888,6
Sydney,Sydney,Australia,Avustralya,,,bus,bus,,,0101000020E6100000D1798D5DA2E66240B3EA73B515EF40C0,TRUE,30,2015-04-25 15:48:04.201911+00,2015-04-25 17:26:31.786096+00,-33.86785,151.20732,6
Bangkok,Bangkok,Thailand,Tayland,,,plane,plane,,,0101000020E6100000003ACC971720594019ADA3AA09822B40,TRUE,38,2015-04-25 15:48:04.201911+00,2015-04-25 17:26:31.786096+00,13.75398,100.50144,6
Colombo,Colombo,Sri Lanka,Sri Lanka,,,bus,bus,,,0101000020E6100000FC8C0B0742F653404356B77A4EBA1B40,TRUE,18,2015-04-25 15:48:04.201911+00,2015-04-25 17:26:31.786096+00,6.93194,79.84778,6
Colombo,Colombo,Sri Lanka,Sri Lanka,,,plane,plane,,,0101000020E6100000FC8C0B0742F653404356B77A4EBA1B40,TRUE,8,2015-04-25 15:48:04.201911+00,2015-04-25 17:26:31.786096+00,6.93194,79.84778,6
Kandy,Kandy,Sri Lanka,Sri Lanka,,,bus,bus,,,0101000020E61000009B559FABAD2854403BDF4F8D972E1D40,TRUE,15,2015-04-25 15:48:04.201911+00,2015-04-25 17:28:49.496164+00,7.2955,80.6356,9
Male,Male,Maldives,Maldivler,,,ship,ship,,,0101000020E6100000AA656B7D91605240FB5C6DC5FEB21040,TRUE,21,2015-04-25 15:48:04.201911+00,2015-04-25 17:30:56.793808+00,4.1748,73.50888,9
Male,Male,Maldives,Maldivler,,,ship,ship,,,0101000020E6100000AA656B7D91605240FB5C6DC5FEB21040,TRUE,23,2015-04-25 15:48:04.201911+00,2015-04-25 17:31:02.21138+00,4.1748,73.50888,9
Byron Bay,Byron Bay,Australia,Avustralya,,,bus,bus,,,0101000020E6100000A8E331039533634078B471C45AA43CC0,TRUE,31,2015-04-25 15:48:04.201911+00,2015-04-25 17:33:04.890213+00,-28.64201,153.61194,8
Nimbin,Nimbin,Australia,Avustralya,,,bus,bus,,,0101000020E6100000A9C1340C1F2763407E350708E6983CC0,TRUE,32,2015-04-25 15:48:04.201911+00,2015-04-25 17:33:07.289174+00,-28.59726,153.22254,8
Surfers Paradise,Surfers Paradise,Australia,Avustralya,,,bus,bus,,,0101000020E61000006D73637AC22D63401B649291B3003CC0,TRUE,33,2015-04-25 15:48:04.201911+00,2015-04-25 17:33:09.061332+00,-28.00274,153.42999,8
Brisbane,Brisbane,Australia,Avustralya,,,bus,bus,,,0101000020E610000007EBFF1CE6206340807D74EACA773BC0,TRUE,34,2015-04-25 15:48:04.201911+00,2015-04-25 17:33:10.589605+00,-27.46794,153.02809,8
Rainbow Beach,Rainbow Beach,Australia,Avustralya,,,bus,bus,,,0101000020E61000008577B988EF226340641EF98381E739C0,TRUE,35,2015-04-25 15:48:04.201911+00,2015-04-25 17:33:13.176239+00,-25.90432,153.09174,8
Lombok,Lombok,Indonesia,Endonezya,,,ship,ship,,,0101000020E61000005BCEA5B8AA2A5D4000000000000021C0,TRUE,27,2015-04-25 15:48:04.201911+00,2015-04-25 17:26:31.786096+00,-8.5,116.66667,6
Naifaru,Naifaru,Maldives,Maldivler,,,ship,ship,,,0101000020E61000007E74EACA6757524065FCFB8C0BC71540,TRUE,20,2015-04-25 15:48:04.201911+00,2015-04-25 17:30:58.595956+00,5.44438,73.36571,9
