indicator,value_type,self,description,Indicator Code,type
Employment in agriculture (% of total employment),percent,Employment in agriculture ,% of total employment,SL.AGR.EMPL.ZS,Agriculture & Rural Development
Agricultural irrigated land (% of total agricultural land),percent,Agricultural irrigated land ,% of total agricultural land,AG.LND.IRIG.AG.ZS,Agriculture & Rural Development
Agricultural land (% of land area),percent,Agricultural land ,% of land area,AG.LND.AGRI.ZS,Agriculture & Rural Development
"Agriculture, value added (constant 2005 US$)",dollar,"Agriculture, value added ",constant 2005 US$,NV.AGR.TOTL.KD,Agriculture & Rural Development
"Agricultural machinery, tractors per 100 sq. km of arable land",number,Agricultural machinery,tractors per 100 sq. km of arable land,AG.LND.TRAC.ZS,Agriculture & Rural Development
GDP growth (annual %),percent,GDP growth ,annual %,NY.GDP.MKTP.KD.ZG,Economy & Growth
GDP per capita (current US$),dollar,GDP per capita ,current US$,NY.GDP.PCAP.CD,Economy & Growth
Imports of goods and services (% of GDP),percent,Imports of goods and services ,% of GDP,NE.IMP.GNFS.ZS,Economy & Growth
"Inflation, GDP deflator (annual %)",percent,"Inflation, GDP deflator ",annual %,NY.GDP.DEFL.KD.ZG,Economy & Growth
"Total reserves (includes gold, current US$)",dollar,Total reserves ,"includes gold, current US$",FI.RES.TOTL.CD,Economy & Growth
"Children in employment, total (% of children ages 7-14)",percent,"Children in employment, total ",% of children ages 7-14,SL.TLF.0714.ZS,Social Development
Refugee population by country or territory of asylum,number,Refugee population,by country or territory of asylum,SM.POP.REFG,Social Development
Proportion of seats held by women in national parliaments (%),percent,Proportion of seats held by women in national parliaments ,%,SG.GEN.PARL.ZS,Social Development
"Vulnerable employment, total (% of total employment)",percent,"Vulnerable employment, total ",% of total employment,SL.EMP.VULN.ZS,Social Development
"Water pollution, chemical industry (% of total BOD emissions)",percent,"Water pollution, chemical industry ",% of total BOD emissions,EE.BOD.CHEM.ZS,Environment
Forest area (% of land area),percent,Forest area ,% of land area,AG.LND.FRST.ZS,Environment
Real interest rate (%),percent,Real interest rate ,%,FR.INR.RINR,Financial Sector
Bank capital to assets ratio (%),percent,Bank capital to assets ratio ,%,FB.BNK.CAPA.ZS,Financial Sector
Market capitalization of listed companies (current US$),dollar,Market capitalization of listed companies ,current US$,CM.MKT.LCAP.CD,Financial Sector
Domestic credit provided by financial sector (% of GDP),percent,Domestic credit provided by financial sector ,% of GDP,FS.AST.DOMS.GD.ZS,Financial Sector
Energy use (kt of oil equivalent),kt,Energy use ,kt of oil equivalent,EG.USE.COMM.KT.OE,Energy & Mining
Energy production (kt of oil equivalent),kt,Energy production ,kt of oil equivalent,EG.EGY.PROD.KT.OE,Energy & Mining
Alternative and nuclear energy (% of total energy use),percent,Alternative and nuclear energy ,% of total energy use,EG.USE.COMM.CL.ZS,Energy & Mining
"Death rate, crude (per 1,000 people)",number,"Death rate, crude ","per 1,000 people",SP.DYN.CDRT.IN,Health
"Health expenditure, total (% of GDP)",percent,"Health expenditure, total ",% of GDP,SH.XPD.TOTL.ZS,Health
Population growth (annual %),percent,Population growth ,annual %,SP.POP.GROW,Health
Health expenditure per capita (current US$),dollar,Health expenditure per capita ,current US$,SH.XPD.PCAP,Health
Internet users (per 100 people),number,Internet users ,per 100 people,IT.NET.USER.P2,Infrastructure
Electric power consumption (kWh per capita),kWh,Electric power consumption ,kWh per capita,EG.USE.ELEC.KH.PC,Infrastructure
Rail lines (total route-km),km,Rail lines ,total route-km,IS.RRS.TOTL.KM,Infrastructure
"Air transport, registered carrier departures worldwide",number,Air transport,registered carrier departures worldwide,IS.AIR.DPRT,Infrastructure
Poverty gap at national poverty line (%),percent,Poverty gap at national poverty line ,%,SI.POV.NAGP,Infrastructure
Income share held by lowest 10%,percent,Income share held by lowest 10%,,SI.DST.FRST.10,Infrastructure
Income share held by lowest 20%,percent,Income share held by lowest 20%,,SI.DST.FRST.20,Infrastructure
Income share held by highest 10%,percent,Income share held by highest 10%,,SI.DST.10TH.10,Infrastructure
"Net flows on external debt, total (NFL, current US$)",dollar,"Net flows on external debt, total ","NFL, current US$",DT.NFL.DECT.CD,External Debt
"Use of IMF credit (DOD, current US$)",dollar,Use of IMF credit ,"DOD, current US$",DT.DOD.DIMF.CD,External Debt
"Total debt service (% of exports of goods, services and primary income)",percent,Total debt service ,"% of exports of goods, services and primary income",DT.TDS.DECT.EX.ZS,External Debt
Births attended by skilled health staff (% of total),percent,Births attended by skilled health staff ,% of total,SH.STA.BRTC.ZS,Gender
"Prevalence of HIV, female (% ages 15-24)",percent,"Prevalence of HIV, female ",% ages 15-24,SH.HIV.1524.FE.ZS,Gender
"Employees, industry, female (% of female employment)",percent,"Employees, industry, female ",% of female employment,SL.IND.EMPL.FE.ZS,Gender
Total tax rate (% of commercial profits),percent,Total tax rate ,% of commercial profits,IC.TAX.TOTL.CP.ZS,Private Sector
Trade in services (% of GDP),percent,Trade in services ,% of GDP,BG.GSR.NFSV.GD.ZS,Private Sector
Domestic credit to private sector (% of GDP),percent,Domestic credit to private sector ,% of GDP,FS.AST.PRVT.GD.ZS,Private Sector
New businesses registered (number),number,New businesses registered ,number,IC.BUS.NREG,Private Sector
