place,place_tr,country,country_tr,begin_date,end_date,arrived_by,arrived_by_tr,story,story_tr,lat,lon,zoom,blog_url,instagram_links,the_geom,cartodb_id,created_at,updated_at
Monkey Island,Monkey Island,Vietnam,Vietnam,,,ship,ship,,,12.15,109.11,8,,,0101000020E6100000D7A3703D0A475B40CDCCCCCCCC4C2840,52,2015-08-18 00:11:20.028804+00,2015-08-18 00:41:38.291835+00
Pai,Pai,Thailand,Tayland,,,motorcycle,motorcycle,,,19.3589,98.4367,8,,,0101000020E6100000728A8EE4F29B5840CE88D2DEE05B3340,45,2015-08-18 00:11:20.028804+00,2015-08-18 00:41:24.710618+00
Kyoto,Kyoto,Japan,Japonya,,,bus,bus,,,35.0117,135.7683,8,,,0101000020E61000008AB0E1E995F860407DAEB6627F814140,68,2015-08-18 00:11:20.028804+00,2015-08-18 00:42:08.584634+00
Chiang Mai,Chiang Mai,Thailand,Tayland,,,motorcycle,motorcycle,,,18.7953,98.9986,8,,,0101000020E61000004772F90FE9BF58404182E2C798CB3240,46,2015-08-18 00:11:20.028804+00,2015-08-18 00:41:28.654253+00
Hanoi,Hanoi,Vietnam,Vietnam,,,ship,ship,,,21.0285,105.8542,8,,,0101000020E6100000910F7A36AB765A409EEFA7C64B073540,53,2015-08-18 00:11:20.028804+00,2015-08-18 00:41:40.55322+00
Vientiane,Vientiane,Laos,Laos,,,bus,bus,,,17.9667,102.6,8,,,0101000020E61000006666666666A659400F0BB5A679F73140,47,2015-08-18 00:11:20.028804+00,2015-08-18 00:41:30.714347+00
Da Lat,Da Lat,Vietnam,Vietnam,,,motorcycle,motorcycle,,,11.9417,108.4383,8,,,0101000020E61000008E75711B0D1C5B4052499D8026E22740,61,2015-08-18 00:11:20.028804+00,2015-08-18 00:41:55.826832+00
Vang Vieng,Vang Vieng,Laos,Laos,,,bus,bus,,,18.9333,102.45,8,,,0101000020E6100000CDCCCCCCCC9C5940575BB1BFECEE3240,48,2015-08-18 00:11:20.028804+00,2015-08-18 00:41:32.419817+00
Vinh,Vinh,Vietnam,Vietnam,,,motorcycle,motorcycle,,,18.6667,105.6667,8,,,0101000020E6100000910F7A36AB6A5A40423EE8D9ACAA3240,55,2015-08-18 00:11:20.028804+00,2015-08-18 00:41:43.703787+00
Ha Long Bay,Ha Long Bay,Vietnam,Vietnam,,,ship,ship,,,20.95,107.0833,8,,,0101000020E61000006FF085C954C55A403333333333F33440,50,2015-08-18 00:11:20.028804+00,2015-08-18 00:41:35.218968+00
Cat Ba Island ,Cat Ba Island,Vietnam,Vietnam,,,ship,ship,,,20.8,106.9997,8,,,0101000020E6100000EB73B515FBBF5A40CDCCCCCCCCCC3440,51,2015-08-18 00:11:20.028804+00,2015-08-18 00:41:36.782727+00
Mui Ne,Mui Ne,Vietnam,Vietnam,,,motorcycle,motorcycle,,,10.9333,108.2833,8,,,0101000020E61000003CBD529621125B40AEB6627FD9DD2540,62,2015-08-18 00:11:20.028804+00,2015-08-18 00:41:57.728303+00
Hue,Hue,Vietnam,Vietnam,,,motorcycle,motorcycle,,,16.4667,107.5833,8,,,0101000020E61000006FF085C954E55A400F0BB5A679773040,56,2015-08-18 00:11:20.028804+00,2015-08-18 00:41:45.979293+00
Osaka,Osaka,Japan,Japonya,,,train,train,,,34.6939,135.5022,8,,,0101000020E6100000A301BC0512F06040E25817B7D1584140,69,2015-08-18 00:11:20.028804+00,2015-08-18 00:42:09.944148+00
Da Nang,Da Nang,Vietnam,Vietnam,,,motorcycle,motorcycle,,,16.0667,108.2333,8,,,0101000020E6100000098A1F63EE0E5B40A9A44E4013113040,57,2015-08-18 00:11:20.028804+00,2015-08-18 00:41:49.220218+00
Ho Chi Minh City,Ho Chi Minh City,Vietnam,Vietnam,,,motorcycle,motorcycle,,,10.75,106.6667,8,,,0101000020E6100000910F7A36ABAA5A400000000000802540,63,2015-08-18 00:11:20.028804+00,2015-08-18 00:41:59.123227+00
