title,unique_id,run_time,metascore,genres,month,year,description,director,stars,netflix_id
Season of the Witch (2011),tt0479997,95,28,"Action,Adventure,Fantasy",1,2011,"14th-century knights transport a suspected witch to a monastery, where monks deduce her powers could be the source of the Black Plague.",Dominic Sena,"Nicolas Cage,Ron Perlman,Claire Foy,Stephen Campbell Moore",
Country Strong (2010),tt1555064,117,45,"Drama,Music",1,2011,"A rising country-music songwriter works with a fallen star to work their way fame, causing romantic complications along the way.",Shana Feste,"Garrett Hedlund,Gwyneth Paltrow,Leighton Meester,Tim McGraw",
The Green Hornet (2011),tt0990407,119,39,"Action,Comedy,Crime,Sci-Fi,Thriller",1,2011,"Following the death of his father, Britt Reid, heir to his father's large company, teams up with his late dad's assistant Kato to become a masked crime fighting team.",Michel Gondry,"Seth Rogen,Jay Chou,Christoph Waltz,Cameron Diaz",
The Dilemma (2011),tt1578275,111,46,"Comedy,Drama",1,2011,A man discovers that his best friend's wife is having an affair.,Ron Howard,"Vince Vaughn,Kevin James,Winona Ryder,Jennifer Connelly",
Barney's Version (2010),tt1423894,134,67,"Comedy,Drama",1,2011,"The picaresque and touching story of the politically incorrect, fully lived life of the impulsive, irascible and fearlessly blunt Barney Panofsky.",Richard J. Lewis,"Paul Giamatti,Rosamund Pike,Jake Hoffman,Macha Grenon",
Ong-bak 3 (2010),tt1653690,99,38,Action,1,2011,"Ong Bak 3 picks up where Ong Bak 2 had left off. Tien is captured and almost beaten to death before he is saved and brought back to the Kana Khone villagers. There he is taught meditation and how to deal with his Karma, but very soon his arch rival returns challenging Tien for a final duel.",Tony Jaa,"Tony Jaa,Dan Chupong,Sarunyu Wongkrachang,Primorata Dejudom",
En ganske snill mann (2010),tt1386683,113,68,"Comedy,Crime,Drama",1,2011,"Ulrik is reluctantly let out of prison after serving 12 years for murder. He has to cope with his gang, his ex, a few women - and a snitch. His son has a fiancé. Her family doesn't approve of murder. They have a nursery, they have principles. Ulrik is a somewhat gentle man. But how gentle can you be? ...and he's losing his hair.",Hans Petter Moland,"Stellan Skarsgård,Bjørn Floberg,Jorunn Kjellsby,Gard B. Eidsvold",
The Company Men (2010),tt1172991,104,69,Drama,1,2011,"The story centers on a year in the life of three men trying to survive a round of corporate downsizing at a major company - and how that affects them, their families, and their communities.",John Wells,"Ben Affleck,Chris Cooper,Tommy Lee Jones,Suzanne Rico",
No Strings Attached (2011),tt1411238,108,50,"Comedy,Romance",1,2011,"A guy and girl try to keep their relationship strictly physical, but it's not long before they learn that they want something more.",Ivan Reitman,"Natalie Portman,Ashton Kutcher,Kevin Kline,Cary Elwes",
The Way Back (2010),tt1023114,133,66,"Adventure,Drama,History",1,2011,"Siberian gulag escapees travel 4,000 miles by foot to freedom in India.",Peter Weir,"Jim Sturgess,Ed Harris,Colin Farrell,Dragos Bucur",70121494
The Mechanic (2011),tt0472399,93,49,"Action,Crime,Thriller",1,2011,Follows an elite hit man as he teaches his trade to an apprentice who has a connection to one of his previous victims.,Simon West,"Jason Statham,Ben Foster,Donald Sutherland,Tony Goldwyn",
The Rite (2011),tt1161864,114,38,"Drama,Horror,Mystery,Thriller",1,2011,An American seminary student travels to Italy to take an exorcism course.,Mikael Håfström,"Colin O'Donoghue,Anthony Hopkins,Ciarán Hinds,Alice Braga",
Biutiful (2010),tt1164999,148,58,Drama,1,2011,"This is the story of Uxbal, a man living in this world, but able to see his death, which guides his every move.",Alejandro González Iñárritu,"Javier Bardem,Maricel Álvarez,Hanaa Bouchaib,Guillermo Estrella",
From Prada to Nada (2011),tt0893412,107,39,"Comedy,Drama,Romance",1,2011,"A Latina spin on Jane Austen's ""Sense and Sensibility,"" where two spoiled sisters who have been left penniless after their father's sudden death are forced to move in with their estranged aunt in East Los Angeles.",Angel Gracia,"Camilla Belle,Alexa PenaVega,Kuno Becker,Tina French",
Kaboom (2010),tt1523483,86,64,"Comedy,Mystery,Sci-Fi",1,2011,A sci-fi story centered on the sexual awakening of a group of college students.,Gregg Araki,"Thomas Dekker,Haley Bennett,Chris Zylka,Roxane Mesquida",70139545
Sanctum (2011),tt0881320,108,42,"Adventure,Drama,Thriller",2,2011,An underwater cave diving team experiences a life-threatening crisis during an expedition to the unexplored and least accessible cave system in the world.,Alister Grierson,"Rhys Wakefield,Allison Cratchley,Christopher James Baker,Richard Roxburgh",70142826
The Roommate (2011),tt1265990,91,23,"Drama,Horror,Thriller",2,2011,"College student Sara finds that her new roommate Rebecca has an obsession with her, which quickly turns violent.",Christian E. Christiansen,"Minka Kelly,Leighton Meester,Cam Gigandet,Aly Michalka",
Cold Weather (2010),tt1497874,96,64,"Comedy,Drama,Mystery",2,2011,"A guy who moves back to Portland, Oregon becomes involved in the mystery of his ex-girlfriend's disappearance.",Aaron Katz,"Cris Lankenau,Raúl Castillo,Robyn Rikoon,Trieste Kelly Dunn",
The Other Woman (2009),tt1032825,102,37,Drama,2,2011,A drama that details the story of a woman's difficult relationship with her stepson.,Don Roos,"Natalie Portman,Scott Cohen,Lisa Kudrow,Charlie Tahan",70122302
Just Go with It (2011),tt1564367,117,33,"Comedy,Romance",2,2011,"On a weekend trip to Hawaii, a plastic surgeon convinces his loyal assistant to pose as his soon-to-be-divorced wife in order to cover up a careless lie he told to his much-younger girlfriend.",Dennis Dugan,"Adam Sandler,Jennifer Aniston,Brooklyn Decker,Nicole Kidman",
Gnomeo & Juliet (2011),tt0377981,84,53,"Animation,Comedy,Family,Romance",2,2011,"The neighboring gardens of Montague and Capulet are at war, but the gnomes, Gnomeo and Juliet, are in love.",Kelly Asbury,"James McAvoy,Emily Blunt,Maggie Smith,Ashley Jensen",
Cedar Rapids (2011),tt1477837,87,70,Comedy,2,2011,"Tim Lippe has no idea what he's in for when he's sent to Cedar Rapids, Iowa to represent his company at an annual insurance convention, where he soon finds himself under the ""guidance"" of three convention veterans.",Miguel Arteta,"Ed Helms,John C. Reilly,Anne Heche,Isiah Whitlock Jr.",
The Eagle (2011),tt1034389,114,55,"Action,Adventure,Drama",2,2011,"In Roman-ruled Britain, a young Roman soldier endeavors to honor his father's memory by finding his lost legion's golden emblem.",Kevin Macdonald,"Channing Tatum,Jamie Bell,Donald Sutherland,István Göz",70130141
Justin Bieber: Never Say Never (2011),tt1702443,105,52,"Documentary,Music",2,2011,Follows Justin Bieber with some footage of performances from his 2010 concert tour.,Jon M. Chu,"Justin Bieber,Boys II Men,Miley Cyrus,Sean Kingston",
I Am Number Four (2011),tt1464540,109,36,"Action,Adventure,Sci-Fi,Thriller",2,2011,"Aliens and their Guardians are hiding on Earth from intergalactic bounty hunters. They can only be killed in numerical order, and Number Four is next on the list. This is his story.",D.J. Caruso,"Alex Pettyfer,Timothy Olyphant,Dianna Agron,Teresa Palmer",
Unknown (2011),tt1401152,113,56,"Action,Mystery,Thriller",2,2011,"A man awakens from a coma, only to discover that someone has taken on his identity and that no one, (not even his wife), believes him. With the help of a young woman, he sets out to prove who he is.",Jaume Collet-Serra,"Liam Neeson,Diane Kruger,January Jones,Aidan Quinn",
"Big Mommas: Like Father, Like Son (2011)",tt1464174,107,22,"Action,Comedy,Crime",2,2011,Malcolm Turner (Martin Lawrence) and his stepson Trent (Brandon T. Jackson) go under cover at an girls school to flush out a killer.,John Whitesell,"Martin Lawrence,Brandon T. Jackson,Jessica Lucas,Michelle Ang",
Vanishing on 7th Street (2010),tt1452628,92,50,"Horror,Mystery,Thriller",2,2011,"The population of Detroit has almost completely disappeared, but a few remain. As daylight disappears they realize that the Dark is coming for them.",Brad Anderson,"Hayden Christensen,Thandie Newton,John Leguizamo,Jacob Latimore",70136080
I Am (2010),tt1741225,78,38,Documentary,2,2011,Director Tom Shadyac speaks with intellectual and spiritual leaders about what's wrong with our world and how we can improve both it and the way we live in it.,Tom Shadyac,"Tom Shadyac,Desmond Tutu,Noam Chomsky,Ray Anderson",
Immigration Tango (2010),tt1415269,92,28,Comedy,2,2011,An American couple and a foreign couple test the limits of friendship and love when they switch partners and get married for green cards.,David Burton Morris,"Elika Portnoy,McCaleb Burnett,Carlos Leon,Ashley Wolfe",
También la lluvia (2010),tt1422032,103,69,"Drama,History",2,2011,"As a director and his crew shoot a controversial film about Christopher Columbus in Cochabamba, Bolivia, local people rise up against plans to privatize the water supply.",Iciar Bollain,"Gael García Bernal,Luis Tosar,Karra Elejalde,Juan Carlos Aduviri",
Brotherhood (2010),tt1273241,76,52,"Crime,Drama,Thriller",2,2011,"Adam Buckley finds himself in the middle of a convenience store robbery during his last night as a pledge for a college fraternity. When the initiation ritual goes horribly wrong, and every move proves disastrous, Adam is forced to confront a new challenge all together, and he has to take a stand.",Will Canon,"Trevor Morgan,Lou Taylor Pucci,Arlen Escarpeta,Jon Foster",
Drive Angry (2011),tt1502404,104,44,"Action,Comedy,Fantasy,Thriller",2,2011,A vengeful father escapes from hell and chases after the men who killed his daughter and kidnapped his granddaughter.,Patrick Lussier,"Nicolas Cage,Amber Heard,William Fichtner,Billy Burke",
Hall Pass (2011),tt0480687,105,45,"Comedy,Romance",2,2011,"Rick and Fred, two husbands who are having difficulty in their marriages, are given a Hall Pass by their wives: for one week, they can do whatever they want.",Bobby Farrelly,"Owen Wilson,Jason Sudeikis,Christina Applegate,Jenna Fischer",
